iter	Passed	Remaining
574	1644	1215
575	1646	1211
576	1648	1208
577	1651	1205
578	1653	1202
579	1655	1198
580	1657	1195
581	1659	1192
582	1662	1188
583	1664	1185
584	1666	1182
585	1668	1179
586	1671	1175
587	1673	1172
588	1676	1169
589	1679	1166
590	1681	1163
591	1683	1160
592	1686	1157
593	1688	1154
594	1690	1150
595	1692	1147
596	1694	1144
597	1697	1141
598	1699	1137
599	1702	1134
600	1704	1131
601	1707	1128
602	1709	1125
603	1711	1122
604	1714	1119
605	1716	1115
606	1718	1112
607	1720	1109
608	1722	1105
609	1724	1102
610	1726	1099
611	1729	1096
612	1731	1093
613	1733	1090
614	1736	1086
615	1738	1083
616	1740	1080
617	1743	1077
618	1745	1074
619	1747	1070
620	1749	1067
621	1751	1064
622	1753	1061
623	1756	1058
624	1758	1055
625	1760	1051
626	1762	1048
627	1764	1045
628	1767	1042
629	1769	1039
630	1771	1036
631	1773	1032
632	1775	1029
633	1778	1026
634	1780	1023
635	1782	1020
636	1784	1016
637	1786	1013
638	1788	1010
639	1791	1007
640	1793	1004
641	1795	1001
642	1798	998
643	1800	995
644	1803	992
645	1805	989
646	1807	986
647	1810	983
648	1812	980
649	1814	977
650	1817	974
651	1819	971
652	1821	967
653	1823	964
654	1825	961
655	1827	958
656	1830	955
657	1832	952
658	1834	949
659	1836	946
660	1839	943
661	1841	940
662	1843	937
663	1845	934
664	1848	931
665	1850	928
666	1852	924
667	1855	921
668	1857	918
669	1860	916
670	1862	913
671	1864	910
672	1866	907
673	1869	904
674	1871	900
675	1873	897
676	1875	894
677	1877	891
678	1879	888
679	1881	885
680	1884	882
681	1886	879
682	1888	876
683	1890	873
684	1893	870
685	1895	867
686	1897	864
687	1899	861
688	1902	858
689	1904	855
690	1906	852
691	1909	849
692	1911	846
693	1913	843
694	1915	840
695	1918	837
696	1920	834
697	1922	831
698	1924	828
699	1926	825
700	1929	822
701	1931	819
702	1933	816
703	1935	813
704	1938	811
705	1940	808
706	1942	805
707	1945	802
708	1947	799
709	1949	796
710	1951	793
711	1953	790
712	1956	787
713	1958	784
714	1961	781
715	1963	778
716	1966	776
717	1968	773
718	1970	770
719	1972	767
720	1974	764
721	1977	761
722	1979	758
723	1983	755
724	1985	753
725	1987	750
726	1990	747
727	1992	744
728	1994	741
729	1997	738
730	1999	735
731	2001	732
732	2003	729
733	2006	727
734	2009	724
735	2011	721
736	2014	718
737	2016	715
738	2018	713
739	2021	710
740	2023	707
741	2027	704
742	2029	702
